round,time_s,sat_id,elevation_deg,d_access_ms,d_feeder_ms,prop_rtt_ms,ho_event
1,0,STARLINK-5163,70.22,1.915,3.726,11.282,0
2,10,STARLINK-5163,73.58,1.882,3.682,11.127,0
3,20,STARLINK-35488,77.32,1.633,3.352,9.97,1
4,30,STARLINK-4678,82.71,1.825,3.436,10.523,1
5,40,STARLINK-4678,85.96,1.816,3.259,10.149,0
6,50,STARLINK-4678,80.21,1.836,3.088,9.848,0
7,60,STARLINK-32032,73.62,1.657,2.812,8.938,1
8,70,STARLINK-3626,73.9,1.879,3.267,10.291,1
9,80,STARLINK-3626,81.11,1.831,3.221,10.104,0
10,90,STARLINK-3626,87.29,1.813,3.19,10.007,0
11,100,STARLINK-5935,86.66,1.935,3.41,10.69,1
12,110,STARLINK-5935,85.94,1.936,3.22,10.312,0
13,120,STARLINK-30435,79.07,1.625,3.276,9.802,1
14,130,STARLINK-30435,77.13,1.636,3.101,9.473,0
15,140,STARLINK-11425 [DTC],77.7,1.233,2.879,8.223,1
16,150,STARLINK-11425 [DTC],85.74,1.209,2.846,8.11,0
17,160,STARLINK-11374 [DTC],82.25,1.222,3.07,8.584,1
18,170,STARLINK-11374 [DTC],85.67,1.214,2.869,8.167,0
19,180,STARLINK-11374 [DTC],74.54,1.254,2.675,7.857,0
20,190,STARLINK-35554,67.28,1.721,3.69,10.822,1
21,200,STARLINK-35554,74.41,1.654,3.498,10.303,0
22,210,STARLINK-35554,80.41,1.618,3.311,9.859,0
23,220,STARLINK-35554,80.76,1.616,3.132,9.495,0
24,230,STARLINK-35554,75.02,1.648,2.959,9.216,0
25,240,STARLINK-35554,67.9,1.713,2.796,9.018,0
26,250,STARLINK-2578,61.09,1.787,3.199,9.972,1
27,260,STARLINK-2578,68.4,1.691,3.127,9.636,0
28,270,STARLINK-2578,76.29,1.624,3.071,9.39,0
29,280,STARLINK-2578,83.86,1.59,3.032,9.244,0
30,290,STARLINK-2578,83.81,1.59,3.011,9.202,0
31,300,STARLINK-32371,78.97,1.625,3.384,10.017,1
32,310,STARLINK-32371,84.08,1.604,3.199,9.606,0
33,320,STARLINK-32371,80.08,1.619,3.02,9.277,0
34,330,STARLINK-32371,72.62,1.667,2.849,9.032,0
35,340,STARLINK-5158,68.84,1.932,3.822,11.509,1
36,350,STARLINK-4722,75.74,1.865,3.581,10.89,1
37,360,STARLINK-4722,83.06,1.824,3.392,10.432,0
38,370,STARLINK-4722,87.8,1.813,3.21,10.045,0
39,380,STARLINK-4722,81.14,1.831,3.034,9.731,0
40,390,STARLINK-36376,77.78,1.604,3.028,9.264,1
41,400,STARLINK-36376,74.52,1.625,3.235,9.721,0
42,410,STARLINK-2628,77.66,1.631,3.119,9.5,1
43,420,STARLINK-2628,85.76,1.6,3.081,9.363,0
44,430,STARLINK-2628,84.22,1.604,3.061,9.331,0
45,440,STARLINK-1156,78.34,1.61,2.944,9.109,1
46,450,STARLINK-30910,73.44,1.625,2.77,8.79,1
47,460,STARLINK-5986,76.15,1.985,3.636,11.241,1
48,470,STARLINK-5986,79.47,1.962,3.446,10.815,0
49,480,STARLINK-5986,78.5,1.967,3.262,10.457,0
50,490,STARLINK-30423,79.52,1.622,3.373,9.99,1
51,500,STARLINK-30423,86.22,1.6,3.185,9.57,0
52,510,STARLINK-30423,81.65,1.612,3.004,9.233,0
53,520,STARLINK-35944,86.85,1.597,3.054,9.304,1
54,530,STARLINK-35944,81.04,1.614,3.041,9.309,0
55,540,STARLINK-35944,72.94,1.664,3.046,9.418,0
56,550,STARLINK-35944,65.25,1.744,3.068,9.625,0
57,560,STARLINK-4370,61.2,2.09,3.531,11.243,1
58,570,STARLINK-11320 [DTC],66.39,1.312,3.145,8.914,1
59,580,STARLINK-11320 [DTC],76.22,1.242,3.091,8.666,0
60,590,STARLINK-11320 [DTC],83.15,1.217,3.054,8.542,0
61,600,STARLINK-11320 [DTC],77.1,1.238,3.036,8.548,0
62,610,STARLINK-36206,85.11,1.601,3.111,9.422,1
63,620,STARLINK-36605,86.73,1.574,3.054,9.256,1
64,630,STARLINK-36605,81.75,1.588,3.254,9.683,0
65,640,STARLINK-36605,73.06,1.639,3.46,10.197,0
66,650,STARLINK-2346,74.28,1.637,3.009,9.292,1
67,660,STARLINK-2346,72.02,1.655,2.816,8.941,0
68,670,STARLINK-35616,72.9,1.664,3.505,10.338,1
69,680,STARLINK-35616,81.26,1.613,3.309,9.845,0
70,690,STARLINK-35616,89.3,1.596,3.119,9.429,0
71,700,STARLINK-2613,84.69,1.587,3.224,9.623,1
72,710,STARLINK-2613,82.99,1.592,3.202,9.588,0
73,720,STARLINK-2613,75.21,1.632,3.196,9.656,0
74,730,STARLINK-3631,70.57,1.91,3.58,10.981,1
75,740,STARLINK-3631,76.52,1.857,3.528,10.771,0
76,750,STARLINK-3631,80.61,1.833,3.491,10.647,0
77,760,STARLINK-3631,79.62,1.838,3.468,10.613,0
78,770,STARLINK-3997,79.03,1.842,3.455,10.594,1
79,780,STARLINK-30426,84.47,1.603,3.219,9.644,1
80,790,STARLINK-30426,85.8,1.6,3.03,9.26,0
81,800,STARLINK-31047,83.91,1.606,3.258,9.726,1
82,810,STARLINK-31047,82.28,1.611,3.235,9.692,0
83,820,STARLINK-5247,78.5,1.846,3.026,9.744,1
84,830,STARLINK-5247,79.98,1.838,3.004,9.684,0
85,840,STARLINK-5247,76.53,1.86,3.0,9.72,0
86,850,STARLINK-36628,82.48,1.584,3.107,9.382,1
87,860,STARLINK-36628,81.2,1.589,3.299,9.776,0
88,870,STARLINK-35454,80.52,1.616,3.275,9.781,1
89,880,STARLINK-35454,85.6,1.599,3.082,9.363,0
90,890,STARLINK-35454,79.99,1.618,2.896,9.028,0
91,900,STARLINK-35454,72.11,1.67,2.717,8.774,0
92,910,STARLINK-35012,65.82,2.014,3.508,11.044,1
93,920,STARLINK-35012,71.66,1.942,3.341,10.566,0
94,930,STARLINK-35012,76.51,1.9,3.184,10.166,0
95,940,STARLINK-35012,78.16,1.888,3.038,9.852,0
96,950,STARLINK-35012,75.32,1.908,2.906,9.629,0
97,960,STARLINK-32274,76.02,1.642,3.344,9.972,1
98,970,STARLINK-32274,82.1,1.61,3.148,9.517,0
99,980,STARLINK-32274,81.23,1.613,2.957,9.141,0
100,990,STARLINK-36089,82.52,1.608,3.281,9.777,1
